FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,diffnetfinder_sec,run,dim
0.0,0.0,0.0,,0.0,0.05,0,4940,0,10,0.0,0.0,0.997979797979798,6.030313500086777,0,100
0.0,0.0,0.0,,0.0,0.1,0,4940,0,10,0.0,0.0,0.997979797979798,6.030313500086777,0,100
0.0,0.0,0.0,,0.0,0.15,0,4940,0,10,0.0,0.0,0.997979797979798,6.030313500086777,0,100
0.0,0.1,0.0,1.0,0.1,0.2,1,4940,0,9,0.1,0.0,0.9981818181818182,6.030313500086777,0,100
0.0,0.1,0.0,1.0,0.1,0.25,1,4940,0,9,0.1,0.0,0.9981818181818182,6.030313500086777,0,100
0.0,0.1,0.0,1.0,0.1,0.3,1,4940,0,9,0.1,0.0,0.9981818181818182,6.030313500086777,0,100
0.0004048582995951417,0.1,0.6666666666666666,0.3333333333333333,0.1,0.35,1,4938,2,9,0.1,0.0004048582995951417,0.9977777777777778,6.030313500086777,0,100
0.0004048582995951417,0.1,0.6666666666666666,0.3333333333333333,0.1,0.4,1,4938,2,9,0.1,0.0004048582995951417,0.9977777777777778,6.030313500086777,0,100
0.0006072874493927126,0.1,0.75,0.25,0.1,0.45,1,4937,3,9,0.1,0.0006072874493927126,0.9975757575757576,6.030313500086777,0,100
0.0006072874493927126,0.1,0.75,0.25,0.1,0.5,1,4937,3,9,0.1,0.0006072874493927126,0.9975757575757576,6.030313500086777,0,100
0.0024291497975708503,0.1,0.9230769230769231,0.07692307692307693,0.1,0.55,1,4928,12,9,0.1,0.0024291497975708503,0.9957575757575757,6.030313500086777,0,100
0.002834008097165992,0.1,0.9333333333333333,0.06666666666666667,0.1,0.6,1,4926,14,9,0.1,0.002834008097165992,0.9953535353535353,6.030313500086777,0,100
0.002834008097165992,0.1,0.9333333333333333,0.06666666666666667,0.1,0.65,1,4926,14,9,0.1,0.002834008097165992,0.9953535353535353,6.030313500086777,0,100
0.002834008097165992,0.1,0.9333333333333333,0.06666666666666667,0.1,0.7,1,4926,14,9,0.1,0.002834008097165992,0.9953535353535353,6.030313500086777,0,100
0.01720647773279352,0.2,0.9770114942528736,0.022988505747126436,0.2,0.75,2,4855,85,8,0.2,0.01720647773279352,0.9812121212121212,6.030313500086777,0,100
0.019230769230769232,0.2,0.979381443298969,0.020618556701030927,0.2,0.8,2,4845,95,8,0.2,0.019230769230769232,0.9791919191919192,6.030313500086777,0,100
0.05789473684210526,0.3,0.9896193771626297,0.010380622837370242,0.3,0.85,3,4654,286,7,0.3,0.05789473684210526,0.9408080808080808,6.030313500086777,0,100
0.07145748987854252,0.3,0.9915730337078652,0.008426966292134831,0.3,0.9,3,4587,353,7,0.3,0.07145748987854252,0.9272727272727272,6.030313500086777,0,100
0.11133603238866396,0.3,0.9945750452079566,0.0054249547920434,0.3,0.95,3,4390,550,7,0.3,0.11133603238866396,0.8874747474747475,6.030313500086777,0,100
0.9983805668016195,1.0,0.9979765277215702,0.0020234722784297854,1.0,1.0,10,8,4932,0,1.0,0.9983805668016195,0.0036363636363636364,6.030313500086777,0,100
0.0,0.0,0.0,,0.0,0.05,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.1,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.15,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.2,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.25,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.3,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.35,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.4,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.45,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.5,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.55,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.6,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.65,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.7,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.75,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.8,0,4940,0,10,0.0,0.0,0.997979797979798,6.1022544000297785,1,100
0.00020242914979757084,0.0,1.0,0.0,0.0,0.85,0,4939,1,10,0.0,0.00020242914979757084,0.9977777777777778,6.1022544000297785,1,100
0.0034412955465587046,0.2,0.8947368421052632,0.10526315789473684,0.2,0.9,2,4923,17,8,0.2,0.0034412955465587046,0.9949494949494949,6.1022544000297785,1,100
0.016194331983805668,0.3,0.963855421686747,0.03614457831325301,0.3,0.95,3,4860,80,7,0.3,0.016194331983805668,0.9824242424242424,6.1022544000297785,1,100
0.9983805668016195,1.0,0.9979765277215702,0.0020234722784297854,1.0,1.0,10,8,4932,0,1.0,0.9983805668016195,0.0036363636363636364,6.1022544000297785,1,100
0.0,0.0,0.0,,0.0,0.05,0,4940,0,10,0.0,0.0,0.997979797979798,6.321081600035541,2,100
0.0,0.0,0.0,,0.0,0.1,0,4940,0,10,0.0,0.0,0.997979797979798,6.321081600035541,2,100
0.0,0.0,0.0,,0.0,0.15,0,4940,0,10,0.0,0.0,0.997979797979798,6.321081600035541,2,100
0.0,0.0,0.0,,0.0,0.2,0,4940,0,10,0.0,0.0,0.997979797979798,6.321081600035541,2,100
0.00020242914979757084,0.0,1.0,0.0,0.0,0.25,0,4939,1,10,0.0,0.00020242914979757084,0.9977777777777778,6.321081600035541,2,100
0.00020242914979757084,0.0,1.0,0.0,0.0,0.3,0,4939,1,10,0.0,0.00020242914979757084,0.9977777777777778,6.321081600035541,2,100
0.00020242914979757084,0.0,1.0,0.0,0.0,0.35,0,4939,1,10,0.0,0.00020242914979757084,0.9977777777777778,6.321081600035541,2,100
0.00020242914979757084,0.0,1.0,0.0,0.0,0.4,0,4939,1,10,0.0,0.00020242914979757084,0.9977777777777778,6.321081600035541,2,100
0.00020242914979757084,0.0,1.0,0.0,0.0,0.45,0,4939,1,10,0.0,0.00020242914979757084,0.9977777777777778,6.321081600035541,2,100
0.00020242914979757084,0.0,1.0,0.0,0.0,0.5,0,4939,1,10,0.0,0.00020242914979757084,0.9977777777777778,6.321081600035541,2,100
0.00020242914979757084,0.0,1.0,0.0,0.0,0.55,0,4939,1,10,0.0,0.00020242914979757084,0.9977777777777778,6.321081600035541,2,100
