FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,diffnetfinder_sec,run,dim
0.0,0.0,0.0,,0.0,0.05,0,19890,0,10,0.0,0.0,0.9994974874371859,46.43033430003561,0,200
0.0,0.0,0.0,,0.0,0.1,0,19890,0,10,0.0,0.0,0.9994974874371859,46.43033430003561,0,200
0.0,0.0,0.0,,0.0,0.15,0,19890,0,10,0.0,0.0,0.9994974874371859,46.43033430003561,0,200
0.0,0.0,0.0,,0.0,0.2,0,19890,0,10,0.0,0.0,0.9994974874371859,46.43033430003561,0,200
0.0,0.0,0.0,,0.0,0.25,0,19890,0,10,0.0,0.0,0.9994974874371859,46.43033430003561,0,200
0.0,0.0,0.0,,0.0,0.3,0,19890,0,10,0.0,0.0,0.9994974874371859,46.43033430003561,0,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.35,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,46.43033430003561,0,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.4,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,46.43033430003561,0,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.45,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,46.43033430003561,0,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.5,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,46.43033430003561,0,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.55,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,46.43033430003561,0,200
0.00015082956259426848,0.1,0.75,0.25,0.1,0.6,1,19887,3,9,0.1,0.00015082956259426848,0.9993969849246231,46.43033430003561,0,200
0.00015082956259426848,0.1,0.75,0.25,0.1,0.65,1,19887,3,9,0.1,0.00015082956259426848,0.9993969849246231,46.43033430003561,0,200
0.00015082956259426848,0.1,0.75,0.25,0.1,0.7,1,19887,3,9,0.1,0.00015082956259426848,0.9993969849246231,46.43033430003561,0,200
0.00020110608345902463,0.1,0.8,0.2,0.1,0.75,1,19886,4,9,0.1,0.00020110608345902463,0.9993467336683417,46.43033430003561,0,200
0.00025138260432378077,0.1,0.8333333333333334,0.16666666666666666,0.1,0.8,1,19885,5,9,0.1,0.00025138260432378077,0.9992964824120603,46.43033430003561,0,200
0.00261437908496732,0.1,0.9811320754716981,0.018867924528301886,0.1,0.85,1,19838,52,9,0.1,0.00261437908496732,0.9969346733668342,46.43033430003561,0,200
