FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,diffnetfinder_sec,run,dim
0.0,0.0,0.0,,0.0,0.05,0,19890,0,10,0.0,0.0,0.9994974874371859,49.61707950010896,0,200
0.0,0.0,0.0,,0.0,0.1,0,19890,0,10,0.0,0.0,0.9994974874371859,49.61707950010896,0,200
0.0,0.0,0.0,,0.0,0.15,0,19890,0,10,0.0,0.0,0.9994974874371859,49.61707950010896,0,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.2,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,49.61707950010896,0,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.25,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,49.61707950010896,0,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.3,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,49.61707950010896,0,200
0.00020110608345902463,0.0,1.0,0.0,0.0,0.35,0,19886,4,10,0.0,0.00020110608345902463,0.9992964824120603,49.61707950010896,0,200
0.00020110608345902463,0.0,1.0,0.0,0.0,0.4,0,19886,4,10,0.0,0.00020110608345902463,0.9992964824120603,49.61707950010896,0,200
0.00030165912518853697,0.0,1.0,0.0,0.0,0.45,0,19884,6,10,0.0,0.00030165912518853697,0.9991959798994975,49.61707950010896,0,200
0.00030165912518853697,0.0,1.0,0.0,0.0,0.5,0,19884,6,10,0.0,0.00030165912518853697,0.9991959798994975,49.61707950010896,0,200
0.00030165912518853697,0.0,1.0,0.0,0.0,0.55,0,19884,6,10,0.0,0.00030165912518853697,0.9991959798994975,49.61707950010896,0,200
0.00045248868778280545,0.0,1.0,0.0,0.0,0.6,0,19881,9,10,0.0,0.00045248868778280545,0.9990452261306533,49.61707950010896,0,200
0.0010558069381598793,0.0,1.0,0.0,0.0,0.65,0,19869,21,10,0.0,0.0010558069381598793,0.9984422110552764,49.61707950010896,0,200
0.0015082956259426848,0.0,1.0,0.0,0.0,0.7,0,19860,30,10,0.0,0.0015082956259426848,0.9979899497487437,49.61707950010896,0,200
0.0015082956259426848,0.0,1.0,0.0,0.0,0.75,0,19860,30,10,0.0,0.0015082956259426848,0.9979899497487437,49.61707950010896,0,200
0.0018602312719959778,0.0,1.0,0.0,0.0,0.8,0,19853,37,10,0.0,0.0018602312719959778,0.9976381909547739,49.61707950010896,0,200
0.005077928607340372,0.0,1.0,0.0,0.0,0.85,0,19789,101,10,0.0,0.005077928607340372,0.9944221105527639,49.61707950010896,0,200
0.005429864253393665,0.0,1.0,0.0,0.0,0.9,0,19782,108,10,0.0,0.005429864253393665,0.994070351758794,49.61707950010896,0,200
0.014077425842131725,0.0,1.0,0.0,0.0,0.95,0,19610,280,10,0.0,0.014077425842131725,0.9854271356783919,49.61707950010896,0,200
0.9779788838612368,1.0,0.9994861781934026,0.000513821806597472,1.0,1.0,10,438,19452,0,1.0,0.9779788838612368,0.022512562814070353,49.61707950010896,0,200
0.0,0.0,0.0,,0.0,0.05,0,19890,0,10,0.0,0.0,0.9994974874371859,51.263298199977726,1,200
0.0,0.0,0.0,,0.0,0.1,0,19890,0,10,0.0,0.0,0.9994974874371859,51.263298199977726,1,200
0.0,0.0,0.0,,0.0,0.15,0,19890,0,10,0.0,0.0,0.9994974874371859,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.2,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.25,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.3,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.35,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.4,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.45,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.5,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.55,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.6,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.65,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.7,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.75,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.8,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.85,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,51.263298199977726,1,200
0.006083459024635495,0.2,0.983739837398374,0.016260162601626018,0.2,0.9,2,19769,121,8,0.2,0.006083459024635495,0.9935175879396985,51.263298199977726,1,200
0.17586726998491706,0.6,0.9982876712328768,0.0017123287671232876,0.6,0.95,6,16392,3498,4,0.6,0.17586726998491706,0.8240201005025125,51.263298199977726,1,200
0.9965309200603318,1.0,0.9994957389945035,0.000504261005496445,1.0,1.0,10,69,19821,0,1.0,0.9965309200603318,0.003969849246231155,51.263298199977726,1,200
0.0,0.0,0.0,,0.0,0.05,0,19890,0,10,0.0,0.0,0.9994974874371859,50.048407499911264,2,200
0.0,0.0,0.0,,0.0,0.1,0,19890,0,10,0.0,0.0,0.9994974874371859,50.048407499911264,2,200
0.0,0.0,0.0,,0.0,0.15,0,19890,0,10,0.0,0.0,0.9994974874371859,50.048407499911264,2,200
0.0,0.0,0.0,,0.0,0.2,0,19890,0,10,0.0,0.0,0.9994974874371859,50.048407499911264,2,200
0.0,0.0,0.0,,0.0,0.25,0,19890,0,10,0.0,0.0,0.9994974874371859,50.048407499911264,2,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.3,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,50.048407499911264,2,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.35,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,50.048407499911264,2,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.4,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,50.048407499911264,2,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.45,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,50.048407499911264,2,200
0.00065359477124183,0.1,0.9285714285714286,0.07142857142857142,0.1,0.5,1,19877,13,9,0.1,0.00065359477124183,0.9988944723618091,50.048407499911264,2,200
0.0007541478129713424,0.2,0.8823529411764706,0.11764705882352941,0.2,0.55,2,19875,15,8,0.2,0.0007541478129713424,0.9988442211055276,50.048407499911264,2,200
0.0008044243338360985,0.2,0.8888888888888888,0.1111111111111111,0.2,0.6,2,19874,16,8,0.2,0.0008044243338360985,0.9987939698492462,50.048407499911264,2,200
0.0008547008547008547,0.2,0.8947368421052632,0.10526315789473684,0.2,0.65,2,19873,17,8,0.2,0.0008547008547008547,0.9987437185929648,50.048407499911264,2,200
0.0008547008547008547,0.2,0.8947368421052632,0.10526315789473684,0.2,0.7,2,19873,17,8,0.2,0.0008547008547008547,0.9987437185929648,50.048407499911264,2,200
0.0008547008547008547,0.2,0.8947368421052632,0.10526315789473684,0.2,0.75,2,19873,17,8,0.2,0.0008547008547008547,0.9987437185929648,50.048407499911264,2,200
0.000955253896430367,0.2,0.9047619047619048,0.09523809523809523,0.2,0.8,2,19871,19,8,0.2,0.000955253896430367,0.998643216080402,50.048407499911264,2,200
0.00130718954248366,0.2,0.9285714285714286,0.07142857142857142,0.2,0.85,2,19864,26,8,0.2,0.00130718954248366,0.9982914572864322,50.048407499911264,2,200
0.0032679738562091504,0.2,0.9701492537313433,0.029850746268656716,0.2,0.9,2,19825,65,8,0.2,0.0032679738562091504,0.9963316582914573,50.048407499911264,2,200
0.004122674710910005,0.2,0.9761904761904762,0.023809523809523808,0.2,0.95,2,19808,82,8,0.2,0.004122674710910005,0.9954773869346734,50.048407499911264,2,200
0.9837606837606837,0.9,0.9995402533714752,0.00045974662852472415,0.9,1.0,9,323,19567,1,0.9,0.9837606837606837,0.016683417085427137,50.048407499911264,2,200
