FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,run,dim
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.02,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,0,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.04,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,0,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.06,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,0,200
0.0,0.0,0.0,,0.0,0.08,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.1,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,0,200
0.00015082956259426848,0.1,0.75,0.25,0.1,0.12,1,19887,3,9,0.1,0.00015082956259426848,0.9993969849246231,0,200
0.00015082956259426848,0.1,0.75,0.25,0.1,0.14,1,19887,3,9,0.1,0.00015082956259426848,0.9993969849246231,0,200
0.00015082956259426848,0.1,0.75,0.25,0.1,0.16,1,19887,3,9,0.1,0.00015082956259426848,0.9993969849246231,0,200
0.00015082956259426848,0.1,0.75,0.25,0.1,0.18,1,19887,3,9,0.1,0.00015082956259426848,0.9993969849246231,0,200
0.00015082956259426848,0.1,0.75,0.25,0.1,0.2,1,19887,3,9,0.1,0.00015082956259426848,0.9993969849246231,0,200
0.00015082956259426848,0.1,0.75,0.25,0.1,0.22,1,19887,3,9,0.1,0.00015082956259426848,0.9993969849246231,0,200
0.00015082956259426848,0.2,0.6,0.4,0.2,0.24,2,19887,3,8,0.2,0.00015082956259426848,0.9994472361809045,0,200
0.00015082956259426848,0.2,0.6,0.4,0.2,0.26,2,19887,3,8,0.2,0.00015082956259426848,0.9994472361809045,0,200
0.00015082956259426848,0.2,0.6,0.4,0.2,0.28,2,19887,3,8,0.2,0.00015082956259426848,0.9994472361809045,0,200
0.00020110608345902463,0.2,0.6666666666666666,0.3333333333333333,0.2,0.3,2,19886,4,8,0.2,0.00020110608345902463,0.9993969849246231,0,200
0.00020110608345902463,0.2,0.6666666666666666,0.3333333333333333,0.2,0.32,2,19886,4,8,0.2,0.00020110608345902463,0.9993969849246231,0,200
0.00030165912518853697,0.3,0.6666666666666666,0.3333333333333333,0.3,0.34,3,19884,6,7,0.3,0.00030165912518853697,0.9993467336683417,0,200
0.00030165912518853697,0.3,0.6666666666666666,0.3333333333333333,0.3,0.36,3,19884,6,7,0.3,0.00030165912518853697,0.9993467336683417,0,200
