FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,diffnetfinder_sec,run,dim
0.0,0.0,0.0,,0.0,0.05,0,19890,0,10,0.0,0.0,0.9994974874371859,41.917677300050855,0,200
0.0,0.0,0.0,,0.0,0.1,0,19890,0,10,0.0,0.0,0.9994974874371859,41.917677300050855,0,200
0.0,0.0,0.0,,0.0,0.15,0,19890,0,10,0.0,0.0,0.9994974874371859,41.917677300050855,0,200
0.0,0.0,0.0,,0.0,0.2,0,19890,0,10,0.0,0.0,0.9994974874371859,41.917677300050855,0,200
0.0,0.0,0.0,,0.0,0.25,0,19890,0,10,0.0,0.0,0.9994974874371859,41.917677300050855,0,200
0.0,0.0,0.0,,0.0,0.3,0,19890,0,10,0.0,0.0,0.9994974874371859,41.917677300050855,0,200
0.0,0.0,0.0,,0.0,0.35,0,19890,0,10,0.0,0.0,0.9994974874371859,41.917677300050855,0,200
0.0,0.0,0.0,,0.0,0.4,0,19890,0,10,0.0,0.0,0.9994974874371859,41.917677300050855,0,200
0.0,0.0,0.0,,0.0,0.45,0,19890,0,10,0.0,0.0,0.9994974874371859,41.917677300050855,0,200
0.0007038712921065862,0.2,0.875,0.125,0.2,0.5,2,19876,14,8,0.2,0.0007038712921065862,0.9988944723618091,41.917677300050855,0,200
0.0007541478129713424,0.2,0.8823529411764706,0.11764705882352941,0.2,0.55,2,19875,15,8,0.2,0.0007541478129713424,0.9988442211055276,41.917677300050855,0,200
0.0008547008547008547,0.2,0.8947368421052632,0.10526315789473684,0.2,0.6,2,19873,17,8,0.2,0.0008547008547008547,0.9987437185929648,41.917677300050855,0,200
0.0011060834590246355,0.2,0.9166666666666666,0.08333333333333333,0.2,0.65,2,19868,22,8,0.2,0.0011060834590246355,0.9984924623115577,41.917677300050855,0,200
0.002161890397184515,0.3,0.9347826086956522,0.06521739130434782,0.3,0.7,3,19847,43,7,0.3,0.002161890397184515,0.9974874371859297,41.917677300050855,0,200
0.0024635495223730517,0.3,0.9423076923076923,0.057692307692307696,0.3,0.75,3,19841,49,7,0.3,0.0024635495223730517,0.9971859296482412,41.917677300050855,0,200
0.002513826043237808,0.3,0.9433962264150944,0.05660377358490566,0.3,0.8,3,19840,50,7,0.3,0.002513826043237808,0.9971356783919598,41.917677300050855,0,200
0.003117144293614882,0.3,0.9538461538461539,0.046153846153846156,0.3,0.85,3,19828,62,7,0.3,0.003117144293614882,0.996532663316583,41.917677300050855,0,200
0.004122674710910005,0.3,0.9647058823529412,0.03529411764705882,0.3,0.9,3,19808,82,7,0.3,0.004122674710910005,0.9955276381909548,41.917677300050855,0,200
0.005128205128205128,0.3,0.9714285714285714,0.02857142857142857,0.3,0.95,3,19788,102,7,0.3,0.005128205128205128,0.9945226130653266,41.917677300050855,0,200
0.998340874811463,1.0,0.9994966527407259,0.0005033472592741732,1.0,1.0,10,33,19857,0,1.0,0.998340874811463,0.0021608040201005025,41.917677300050855,0,200
0.0,0.0,0.0,,0.0,0.05,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.1,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.15,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.2,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.25,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.3,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.35,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.4,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.45,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.5,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.55,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.6,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.65,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.7,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.75,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.8,0,19890,0,10,0.0,0.0,0.9994974874371859,42.58525120001286,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.85,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,42.58525120001286,1,200
5.0276520864756156e-05,0.0,1.0,0.0,0.0,0.9,0,19889,1,10,0.0,5.0276520864756156e-05,0.9994472361809045,42.58525120001286,1,200
0.011865258924082453,0.2,0.9915966386554622,0.008403361344537815,0.2,0.95,2,19654,236,8,0.2,0.011865258924082453,0.9877386934673367,42.58525120001286,1,200
0.8919557566616391,1.0,0.9994366514562559,0.0005633485437440144,1.0,1.0,10,2149,17741,0,1.0,0.8919557566616391,0.10849246231155779,42.58525120001286,1,200
0.0,0.0,0.0,,0.0,0.05,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.1,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.15,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.2,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.25,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.3,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.35,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.4,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.45,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.5,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.55,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.6,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.65,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.7,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.75,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.8,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0,0.0,0.0,,0.0,0.85,0,19890,0,10,0.0,0.0,0.9994974874371859,41.87449899991043,2,200
0.0030668677727501256,0.1,0.9838709677419355,0.016129032258064516,0.1,0.9,1,19829,61,9,0.1,0.0030668677727501256,0.9964824120603015,41.87449899991043,2,200
0.003569632981397687,0.1,0.9861111111111112,0.013888888888888888,0.1,0.95,1,19819,71,9,0.1,0.003569632981397687,0.9959798994974874,41.87449899991043,2,200
0.9926596279537456,1.0,0.9994937734129796,0.0005062265870203503,1.0,1.0,10,146,19744,0,1.0,0.9926596279537456,0.007839195979899497,41.87449899991043,2,200
