FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,run,dim
0.0,0.0,0.0,,0.0,0.02,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.04,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.06,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.08,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.1,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.12,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.14,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.16,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.18,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.2,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.22,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.24,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.26,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.28,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.3,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.32,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.34,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.36,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.0,0.0,0.0,,0.0,0.38,0,19890,0,10,0.0,0.0,0.9994974874371859,0,200
0.00030165912518853697,0.0,1.0,0.0,0.0,0.4,0,19884,6,10,0.0,0.00030165912518853697,0.9991959798994975,0,200
0.00030165912518853697,0.0,1.0,0.0,0.0,0.42,0,19884,6,10,0.0,0.00030165912518853697,0.9991959798994975,0,200
0.00030165912518853697,0.0,1.0,0.0,0.0,0.44,0,19884,6,10,0.0,0.00030165912518853697,0.9991959798994975,0,200
0.00030165912518853697,0.0,1.0,0.0,0.0,0.46,0,19884,6,10,0.0,0.00030165912518853697,0.9991959798994975,0,200
0.00030165912518853697,0.0,1.0,0.0,0.0,0.48,0,19884,6,10,0.0,0.00030165912518853697,0.9991959798994975,0,200
0.00030165912518853697,0.0,1.0,0.0,0.0,0.5,0,19884,6,10,0.0,0.00030165912518853697,0.9991959798994975,0,200
0.00030165912518853697,0.0,1.0,0.0,0.0,0.52,0,19884,6,10,0.0,0.00030165912518853697,0.9991959798994975,0,200
0.00030165912518853697,0.0,1.0,0.0,0.0,0.54,0,19884,6,10,0.0,0.00030165912518853697,0.9991959798994975,0,200
0.0007038712921065862,0.0,1.0,0.0,0.0,0.56,0,19876,14,10,0.0,0.0007038712921065862,0.9987939698492462,0,200
0.0007038712921065862,0.0,1.0,0.0,0.0,0.58,0,19876,14,10,0.0,0.0007038712921065862,0.9987939698492462,0,200
0.003117144293614882,0.0,1.0,0.0,0.0,0.6,0,19828,62,10,0.0,0.003117144293614882,0.9963819095477386,0,200
0.003117144293614882,0.0,1.0,0.0,0.0,0.62,0,19828,62,10,0.0,0.003117144293614882,0.9963819095477386,0,200
0.0033182503770739064,0.0,1.0,0.0,0.0,0.64,0,19824,66,10,0.0,0.0033182503770739064,0.9961809045226131,0,200
0.0033182503770739064,0.0,1.0,0.0,0.0,0.66,0,19824,66,10,0.0,0.0033182503770739064,0.9961809045226131,0,200
0.0036701860231271996,0.0,1.0,0.0,0.0,0.68,0,19817,73,10,0.0,0.0036701860231271996,0.9958291457286432,0,200
0.004122674710910005,0.0,1.0,0.0,0.0,0.7,0,19808,82,10,0.0,0.004122674710910005,0.9953768844221106,0,200
0.004575163398692811,0.0,1.0,0.0,0.0,0.72,0,19799,91,10,0.0,0.004575163398692811,0.9949246231155779,0,200
0.005077928607340372,0.1,0.9901960784313726,0.00980392156862745,0.1,0.74,1,19789,101,9,0.1,0.005077928607340372,0.9944723618090452,0,200
0.005077928607340372,0.1,0.9901960784313726,0.00980392156862745,0.1,0.76,1,19789,101,9,0.1,0.005077928607340372,0.9944723618090452,0,200
0.005077928607340372,0.1,0.9901960784313726,0.00980392156862745,0.1,0.78,1,19789,101,9,0.1,0.005077928607340372,0.9944723618090452,0,200
0.006234288587229764,0.1,0.992,0.008,0.1,0.8,1,19766,124,9,0.1,0.006234288587229764,0.9933165829145728,0,200
0.006837606837606838,0.1,0.9927007299270073,0.0072992700729927005,0.1,0.82,1,19754,136,9,0.1,0.006837606837606838,0.992713567839196,0,200
0.009854198089492207,0.2,0.98989898989899,0.010101010101010102,0.2,0.84,2,19694,196,8,0.2,0.009854198089492207,0.989748743718593,0,200
0.012368024132730015,0.2,0.9919354838709677,0.008064516129032258,0.2,0.86,2,19644,246,8,0.2,0.012368024132730015,0.9872361809045226,0,200
0.015535444947209653,0.2,0.9935691318327974,0.006430868167202572,0.2,0.88,2,19581,309,8,0.2,0.015535444947209653,0.984070351758794,0,200
0.017345399698340876,0.3,0.9913793103448276,0.008620689655172414,0.3,0.9,3,19545,345,7,0.3,0.017345399698340876,0.9823115577889447,0,200
0.021317244846656612,0.4,0.9906542056074766,0.009345794392523364,0.4,0.92,4,19466,424,6,0.4,0.021317244846656612,0.978391959798995,0,200
0.023328305681246858,0.4,0.9914529914529915,0.008547008547008548,0.4,0.94,4,19426,464,6,0.4,0.023328305681246858,0.9763819095477387,0,200
0.028557063851181497,0.4,0.993006993006993,0.006993006993006993,0.4,0.96,4,19322,568,6,0.4,0.028557063851181497,0.9711557788944724,0,200
0.031070889894419307,0.4,0.9935691318327974,0.006430868167202572,0.4,0.98,4,19272,618,6,0.4,0.031070889894419307,0.968643216080402,0,200
0.8971845148315737,1.0,0.999439932791935,0.0005600672080649678,1.0,1.0,10,2045,17845,0,1.0,0.8971845148315737,0.10326633165829145,0,200
0.0,0.1,0.0,1.0,0.1,0.02,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.04,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.06,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.0,0.0,,0.0,0.08,0,19890,0,10,0.0,0.0,0.9994974874371859,1,200
0.0,0.1,0.0,1.0,0.1,0.1,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.12,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.14,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.16,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.18,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.2,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.22,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.24,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.26,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.28,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.3,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.0,0.1,0.0,1.0,0.1,0.32,1,19890,0,9,0.1,0.0,0.9995477386934674,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.34,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.36,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.38,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.4,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.42,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.44,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.46,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.48,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.5,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.52,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.54,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.56,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.58,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.6,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.62,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,1,200
