FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,run,dim
0.0,0.0,0.0,,0.0,0.02,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.04,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.06,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.08,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.1,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.12,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.14,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.16,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0004048582995951417,0.0,1.0,0.0,0.0,0.18,0,4938,2,10,0.0,0.0004048582995951417,0.9975757575757576,0,100
0.0004048582995951417,0.0,1.0,0.0,0.0,0.2,0,4938,2,10,0.0,0.0004048582995951417,0.9975757575757576,0,100
0.0004048582995951417,0.0,1.0,0.0,0.0,0.22,0,4938,2,10,0.0,0.0004048582995951417,0.9975757575757576,0,100
0.0004048582995951417,0.0,1.0,0.0,0.0,0.24,0,4938,2,10,0.0,0.0004048582995951417,0.9975757575757576,0,100
0.0004048582995951417,0.0,1.0,0.0,0.0,0.26,0,4938,2,10,0.0,0.0004048582995951417,0.9975757575757576,0,100
0.0004048582995951417,0.0,1.0,0.0,0.0,0.28,0,4938,2,10,0.0,0.0004048582995951417,0.9975757575757576,0,100
0.0004048582995951417,0.0,1.0,0.0,0.0,0.3,0,4938,2,10,0.0,0.0004048582995951417,0.9975757575757576,0,100
0.0004048582995951417,0.0,1.0,0.0,0.0,0.32,0,4938,2,10,0.0,0.0004048582995951417,0.9975757575757576,0,100
0.0004048582995951417,0.0,1.0,0.0,0.0,0.34,0,4938,2,10,0.0,0.0004048582995951417,0.9975757575757576,0,100
0.0004048582995951417,0.0,1.0,0.0,0.0,0.36,0,4938,2,10,0.0,0.0004048582995951417,0.9975757575757576,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.38,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.4,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.42,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.44,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.46,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.48,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.5,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.52,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.54,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.56,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.58,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0006072874493927126,0.0,1.0,0.0,0.0,0.6,0,4937,3,10,0.0,0.0006072874493927126,0.9973737373737374,0,100
0.0008097165991902834,0.0,1.0,0.0,0.0,0.62,0,4936,4,10,0.0,0.0008097165991902834,0.9971717171717172,0,100
0.001417004048582996,0.0,1.0,0.0,0.0,0.64,0,4933,7,10,0.0,0.001417004048582996,0.9965656565656565,0,100
0.001417004048582996,0.0,1.0,0.0,0.0,0.66,0,4933,7,10,0.0,0.001417004048582996,0.9965656565656565,0,100
0.001417004048582996,0.0,1.0,0.0,0.0,0.68,0,4933,7,10,0.0,0.001417004048582996,0.9965656565656565,0,100
0.001417004048582996,0.0,1.0,0.0,0.0,0.7,0,4933,7,10,0.0,0.001417004048582996,0.9965656565656565,0,100
0.001417004048582996,0.0,1.0,0.0,0.0,0.72,0,4933,7,10,0.0,0.001417004048582996,0.9965656565656565,0,100
0.001417004048582996,0.0,1.0,0.0,0.0,0.74,0,4933,7,10,0.0,0.001417004048582996,0.9965656565656565,0,100
0.006275303643724696,0.0,1.0,0.0,0.0,0.76,0,4909,31,10,0.0,0.006275303643724696,0.9917171717171717,0,100
0.006275303643724696,0.0,1.0,0.0,0.0,0.78,0,4909,31,10,0.0,0.006275303643724696,0.9917171717171717,0,100
0.006275303643724696,0.0,1.0,0.0,0.0,0.8,0,4909,31,10,0.0,0.006275303643724696,0.9917171717171717,0,100
0.006275303643724696,0.0,1.0,0.0,0.0,0.82,0,4909,31,10,0.0,0.006275303643724696,0.9917171717171717,0,100
0.006275303643724696,0.1,0.96875,0.03125,0.1,0.84,1,4909,31,9,0.1,0.006275303643724696,0.9919191919191919,0,100
0.00708502024291498,0.1,0.9722222222222222,0.027777777777777776,0.1,0.86,1,4905,35,9,0.1,0.00708502024291498,0.9911111111111112,0,100
0.022267206477732792,0.2,0.9821428571428571,0.017857142857142856,0.2,0.88,2,4830,110,8,0.2,0.022267206477732792,0.9761616161616161,0,100
0.022267206477732792,0.2,0.9821428571428571,0.017857142857142856,0.2,0.9,2,4830,110,8,0.2,0.022267206477732792,0.9761616161616161,0,100
0.02388663967611336,0.2,0.9833333333333333,0.016666666666666666,0.2,0.92,2,4822,118,8,0.2,0.02388663967611336,0.9745454545454545,0,100
0.043927125506072875,0.2,0.9908675799086758,0.0091324200913242,0.2,0.94,2,4723,217,8,0.2,0.043927125506072875,0.9545454545454546,0,100
0.08947368421052632,0.4,0.9910313901345291,0.008968609865470852,0.4,0.96,4,4498,442,6,0.4,0.08947368421052632,0.9094949494949495,0,100
0.15587044534412955,0.5,0.9935483870967742,0.0064516129032258064,0.5,0.98,5,4170,770,5,0.5,0.15587044534412955,0.8434343434343434,0,100
0.9710526315789474,1.0,0.997919700436863,0.002080299563137092,1.0,1.0,10,143,4797,0,1.0,0.9710526315789474,0.03090909090909091,0,100
0.0,0.1,0.0,1.0,0.1,0.02,1,4940,0,9,0.1,0.0,0.9981818181818182,1,100
0.0,0.1,0.0,1.0,0.1,0.04,1,4940,0,9,0.1,0.0,0.9981818181818182,1,100
0.0,0.1,0.0,1.0,0.1,0.06,1,4940,0,9,0.1,0.0,0.9981818181818182,1,100
0.0,0.1,0.0,1.0,0.1,0.08,1,4940,0,9,0.1,0.0,0.9981818181818182,1,100
0.0,0.1,0.0,1.0,0.1,0.1,1,4940,0,9,0.1,0.0,0.9981818181818182,1,100
0.0,0.2,0.0,1.0,0.2,0.12,2,4940,0,8,0.2,0.0,0.9983838383838384,1,100
0.0,0.2,0.0,1.0,0.2,0.14,2,4940,0,8,0.2,0.0,0.9983838383838384,1,100
0.0,0.2,0.0,1.0,0.2,0.16,2,4940,0,8,0.2,0.0,0.9983838383838384,1,100
0.0,0.2,0.0,1.0,0.2,0.18,2,4940,0,8,0.2,0.0,0.9983838383838384,1,100
0.0,0.2,0.0,1.0,0.2,0.2,2,4940,0,8,0.2,0.0,0.9983838383838384,1,100
0.00020242914979757084,0.2,0.3333333333333333,0.6666666666666666,0.2,0.22,2,4939,1,8,0.2,0.00020242914979757084,0.9981818181818182,1,100
0.00020242914979757084,0.2,0.3333333333333333,0.6666666666666666,0.2,0.24,2,4939,1,8,0.2,0.00020242914979757084,0.9981818181818182,1,100
0.00020242914979757084,0.2,0.3333333333333333,0.6666666666666666,0.2,0.26,2,4939,1,8,0.2,0.00020242914979757084,0.9981818181818182,1,100
0.00020242914979757084,0.2,0.3333333333333333,0.6666666666666666,0.2,0.28,2,4939,1,8,0.2,0.00020242914979757084,0.9981818181818182,1,100
0.00020242914979757084,0.2,0.3333333333333333,0.6666666666666666,0.2,0.3,2,4939,1,8,0.2,0.00020242914979757084,0.9981818181818182,1,100
0.00020242914979757084,0.2,0.3333333333333333,0.6666666666666666,0.2,0.32,2,4939,1,8,0.2,0.00020242914979757084,0.9981818181818182,1,100
0.00020242914979757084,0.2,0.3333333333333333,0.6666666666666666,0.2,0.34,2,4939,1,8,0.2,0.00020242914979757084,0.9981818181818182,1,100
0.00020242914979757084,0.2,0.3333333333333333,0.6666666666666666,0.2,0.36,2,4939,1,8,0.2,0.00020242914979757084,0.9981818181818182,1,100
0.00020242914979757084,0.2,0.3333333333333333,0.6666666666666666,0.2,0.38,2,4939,1,8,0.2,0.00020242914979757084,0.9981818181818182,1,100
0.00020242914979757084,0.2,0.3333333333333333,0.6666666666666666,0.2,0.4,2,4939,1,8,0.2,0.00020242914979757084,0.9981818181818182,1,100
0.0004048582995951417,0.2,0.5,0.5,0.2,0.42,2,4938,2,8,0.2,0.0004048582995951417,0.997979797979798,1,100
0.0004048582995951417,0.2,0.5,0.5,0.2,0.44,2,4938,2,8,0.2,0.0004048582995951417,0.997979797979798,1,100
0.0004048582995951417,0.2,0.5,0.5,0.2,0.46,2,4938,2,8,0.2,0.0004048582995951417,0.997979797979798,1,100
0.0004048582995951417,0.2,0.5,0.5,0.2,0.48,2,4938,2,8,0.2,0.0004048582995951417,0.997979797979798,1,100
0.0004048582995951417,0.2,0.5,0.5,0.2,0.5,2,4938,2,8,0.2,0.0004048582995951417,0.997979797979798,1,100
0.0032388663967611335,0.2,0.8888888888888888,0.1111111111111111,0.2,0.52,2,4924,16,8,0.2,0.0032388663967611335,0.9951515151515151,1,100
0.0032388663967611335,0.2,0.8888888888888888,0.1111111111111111,0.2,0.54,2,4924,16,8,0.2,0.0032388663967611335,0.9951515151515151,1,100
0.0032388663967611335,0.2,0.8888888888888888,0.1111111111111111,0.2,0.56,2,4924,16,8,0.2,0.0032388663967611335,0.9951515151515151,1,100
0.0032388663967611335,0.2,0.8888888888888888,0.1111111111111111,0.2,0.58,2,4924,16,8,0.2,0.0032388663967611335,0.9951515151515151,1,100
0.0034412955465587046,0.2,0.8947368421052632,0.10526315789473684,0.2,0.6,2,4923,17,8,0.2,0.0034412955465587046,0.9949494949494949,1,100
0.0034412955465587046,0.2,0.8947368421052632,0.10526315789473684,0.2,0.62,2,4923,17,8,0.2,0.0034412955465587046,0.9949494949494949,1,100
0.004048582995951417,0.2,0.9090909090909091,0.09090909090909091,0.2,0.64,2,4920,20,8,0.2,0.004048582995951417,0.9943434343434343,1,100
0.004048582995951417,0.2,0.9090909090909091,0.09090909090909091,0.2,0.66,2,4920,20,8,0.2,0.004048582995951417,0.9943434343434343,1,100
0.005668016194331984,0.2,0.9333333333333333,0.06666666666666667,0.2,0.68,2,4912,28,8,0.2,0.005668016194331984,0.9927272727272727,1,100
0.005668016194331984,0.2,0.9333333333333333,0.06666666666666667,0.2,0.7,2,4912,28,8,0.2,0.005668016194331984,0.9927272727272727,1,100
0.005668016194331984,0.2,0.9333333333333333,0.06666666666666667,0.2,0.72,2,4912,28,8,0.2,0.005668016194331984,0.9927272727272727,1,100
0.006275303643724696,0.3,0.9117647058823529,0.08823529411764706,0.3,0.74,3,4909,31,7,0.3,0.006275303643724696,0.9923232323232323,1,100
0.013157894736842105,0.3,0.9558823529411765,0.04411764705882353,0.3,0.76,3,4875,65,7,0.3,0.013157894736842105,0.9854545454545455,1,100
0.013157894736842105,0.3,0.9558823529411765,0.04411764705882353,0.3,0.78,3,4875,65,7,0.3,0.013157894736842105,0.9854545454545455,1,100
0.013157894736842105,0.3,0.9558823529411765,0.04411764705882353,0.3,0.8,3,4875,65,7,0.3,0.013157894736842105,0.9854545454545455,1,100
0.013157894736842105,0.3,0.9558823529411765,0.04411764705882353,0.3,0.82,3,4875,65,7,0.3,0.013157894736842105,0.9854545454545455,1,100
0.01659919028340081,0.3,0.9647058823529412,0.03529411764705882,0.3,0.84,3,4858,82,7,0.3,0.01659919028340081,0.982020202020202,1,100
0.022672064777327937,0.3,0.9739130434782609,0.02608695652173913,0.3,0.86,3,4828,112,7,0.3,0.022672064777327937,0.9759595959595959,1,100
0.022672064777327937,0.3,0.9739130434782609,0.02608695652173913,0.3,0.88,3,4828,112,7,0.3,0.022672064777327937,0.9759595959595959,1,100
