FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,run,dim
0.0,0.0,0.0,,0.0,0.02,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.04,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.06,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.08,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.1,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.12,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.14,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.16,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.18,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.2,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.22,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.24,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.26,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.28,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.3,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.32,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.34,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.36,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.38,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.4,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.42,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.44,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.46,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.48,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.5,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.52,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.54,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.56,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.58,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.6,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.62,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.64,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.66,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.68,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.7,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.72,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.74,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.0,0.0,0.0,,0.0,0.76,0,4940,0,10,0.0,0.0,0.997979797979798,0,100
0.005668016194331984,0.1,0.9655172413793104,0.034482758620689655,0.1,0.78,1,4912,28,9,0.1,0.005668016194331984,0.9925252525252525,0,100
0.005668016194331984,0.1,0.9655172413793104,0.034482758620689655,0.1,0.8,1,4912,28,9,0.1,0.005668016194331984,0.9925252525252525,0,100
0.005668016194331984,0.1,0.9655172413793104,0.034482758620689655,0.1,0.82,1,4912,28,9,0.1,0.005668016194331984,0.9925252525252525,0,100
0.005668016194331984,0.1,0.9655172413793104,0.034482758620689655,0.1,0.84,1,4912,28,9,0.1,0.005668016194331984,0.9925252525252525,0,100
0.005870445344129555,0.1,0.9666666666666667,0.03333333333333333,0.1,0.86,1,4911,29,9,0.1,0.005870445344129555,0.9923232323232323,0,100
0.009109311740890687,0.1,0.9782608695652174,0.021739130434782608,0.1,0.88,1,4895,45,9,0.1,0.009109311740890687,0.9890909090909091,0,100
0.009109311740890687,0.1,0.9782608695652174,0.021739130434782608,0.1,0.9,1,4895,45,9,0.1,0.009109311740890687,0.9890909090909091,0,100
0.044939271255060725,0.2,0.9910714285714286,0.008928571428571428,0.2,0.92,2,4718,222,8,0.2,0.044939271255060725,0.9535353535353536,0,100
0.0694331983805668,0.2,0.9942028985507246,0.005797101449275362,0.2,0.94,2,4597,343,8,0.2,0.0694331983805668,0.9290909090909091,0,100
0.09433198380566801,0.3,0.9936034115138592,0.006396588486140725,0.3,0.96,3,4474,466,7,0.3,0.09433198380566801,0.9044444444444445,0,100
0.10708502024291498,0.3,0.9943609022556391,0.005639097744360902,0.3,0.98,3,4411,529,7,0.3,0.10708502024291498,0.8917171717171717,0,100
0.9722672064777328,1.0,0.9979222937876584,0.002077706212341575,1.0,1.0,10,137,4803,0,1.0,0.9722672064777328,0.029696969696969697,0,100
0.0,0.0,0.0,,0.0,0.02,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.0,0.0,0.0,,0.0,0.04,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.0,0.0,0.0,,0.0,0.06,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.0,0.0,0.0,,0.0,0.08,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.0,0.0,0.0,,0.0,0.1,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.0,0.0,0.0,,0.0,0.12,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.0,0.0,0.0,,0.0,0.14,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.0,0.0,0.0,,0.0,0.16,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.0,0.0,0.0,,0.0,0.18,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.0,0.0,0.0,,0.0,0.2,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.0,0.0,0.0,,0.0,0.22,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.0,0.0,0.0,,0.0,0.24,0,4940,0,10,0.0,0.0,0.997979797979798,1,100
0.001417004048582996,0.1,0.875,0.125,0.1,0.26,1,4933,7,9,0.1,0.001417004048582996,0.9967676767676767,1,100
0.001417004048582996,0.1,0.875,0.125,0.1,0.28,1,4933,7,9,0.1,0.001417004048582996,0.9967676767676767,1,100
0.001417004048582996,0.1,0.875,0.125,0.1,0.3,1,4933,7,9,0.1,0.001417004048582996,0.9967676767676767,1,100
0.0016194331983805667,0.1,0.8888888888888888,0.1111111111111111,0.1,0.32,1,4932,8,9,0.1,0.0016194331983805667,0.9965656565656565,1,100
0.0016194331983805667,0.1,0.8888888888888888,0.1111111111111111,0.1,0.34,1,4932,8,9,0.1,0.0016194331983805667,0.9965656565656565,1,100
0.0016194331983805667,0.1,0.8888888888888888,0.1111111111111111,0.1,0.36,1,4932,8,9,0.1,0.0016194331983805667,0.9965656565656565,1,100
0.0018218623481781376,0.1,0.9,0.1,0.1,0.38,1,4931,9,9,0.1,0.0018218623481781376,0.9963636363636363,1,100
0.0020242914979757085,0.1,0.9090909090909091,0.09090909090909091,0.1,0.4,1,4930,10,9,0.1,0.0020242914979757085,0.9961616161616161,1,100
0.0020242914979757085,0.1,0.9090909090909091,0.09090909090909091,0.1,0.42,1,4930,10,9,0.1,0.0020242914979757085,0.9961616161616161,1,100
0.0020242914979757085,0.1,0.9090909090909091,0.09090909090909091,0.1,0.44,1,4930,10,9,0.1,0.0020242914979757085,0.9961616161616161,1,100
0.0024291497975708503,0.1,0.9230769230769231,0.07692307692307693,0.1,0.46,1,4928,12,9,0.1,0.0024291497975708503,0.9957575757575757,1,100
0.0024291497975708503,0.1,0.9230769230769231,0.07692307692307693,0.1,0.48,1,4928,12,9,0.1,0.0024291497975708503,0.9957575757575757,1,100
0.0024291497975708503,0.1,0.9230769230769231,0.07692307692307693,0.1,0.5,1,4928,12,9,0.1,0.0024291497975708503,0.9957575757575757,1,100
0.0024291497975708503,0.1,0.9230769230769231,0.07692307692307693,0.1,0.52,1,4928,12,9,0.1,0.0024291497975708503,0.9957575757575757,1,100
0.0024291497975708503,0.1,0.9230769230769231,0.07692307692307693,0.1,0.54,1,4928,12,9,0.1,0.0024291497975708503,0.9957575757575757,1,100
0.002631578947368421,0.1,0.9285714285714286,0.07142857142857142,0.1,0.56,1,4927,13,9,0.1,0.002631578947368421,0.9955555555555555,1,100
0.002631578947368421,0.1,0.9285714285714286,0.07142857142857142,0.1,0.58,1,4927,13,9,0.1,0.002631578947368421,0.9955555555555555,1,100
0.002834008097165992,0.1,0.9333333333333333,0.06666666666666667,0.1,0.6,1,4926,14,9,0.1,0.002834008097165992,0.9953535353535353,1,100
0.0032388663967611335,0.1,0.9411764705882353,0.058823529411764705,0.1,0.62,1,4924,16,9,0.1,0.0032388663967611335,0.9949494949494949,1,100
0.0032388663967611335,0.1,0.9411764705882353,0.058823529411764705,0.1,0.64,1,4924,16,9,0.1,0.0032388663967611335,0.9949494949494949,1,100
0.0032388663967611335,0.1,0.9411764705882353,0.058823529411764705,0.1,0.66,1,4924,16,9,0.1,0.0032388663967611335,0.9949494949494949,1,100
0.0032388663967611335,0.1,0.9411764705882353,0.058823529411764705,0.1,0.68,1,4924,16,9,0.1,0.0032388663967611335,0.9949494949494949,1,100
0.0032388663967611335,0.1,0.9411764705882353,0.058823529411764705,0.1,0.7,1,4924,16,9,0.1,0.0032388663967611335,0.9949494949494949,1,100
0.0032388663967611335,0.1,0.9411764705882353,0.058823529411764705,0.1,0.72,1,4924,16,9,0.1,0.0032388663967611335,0.9949494949494949,1,100
0.007692307692307693,0.2,0.95,0.05,0.2,0.74,2,4902,38,8,0.2,0.007692307692307693,0.9907070707070708,1,100
0.007692307692307693,0.2,0.95,0.05,0.2,0.76,2,4902,38,8,0.2,0.007692307692307693,0.9907070707070708,1,100
0.00951417004048583,0.2,0.9591836734693877,0.04081632653061224,0.2,0.78,2,4893,47,8,0.2,0.00951417004048583,0.9888888888888889,1,100
0.00951417004048583,0.2,0.9591836734693877,0.04081632653061224,0.2,0.8,2,4893,47,8,0.2,0.00951417004048583,0.9888888888888889,1,100
0.00951417004048583,0.2,0.9591836734693877,0.04081632653061224,0.2,0.82,2,4893,47,8,0.2,0.00951417004048583,0.9888888888888889,1,100
0.009919028340080972,0.3,0.9423076923076923,0.057692307692307696,0.3,0.84,3,4891,49,7,0.3,0.009919028340080972,0.9886868686868687,1,100
0.009919028340080972,0.3,0.9423076923076923,0.057692307692307696,0.3,0.86,3,4891,49,7,0.3,0.009919028340080972,0.9886868686868687,1,100
0.010728744939271255,0.3,0.9464285714285714,0.05357142857142857,0.3,0.88,3,4887,53,7,0.3,0.010728744939271255,0.9878787878787879,1,100
0.010728744939271255,0.3,0.9464285714285714,0.05357142857142857,0.3,0.9,3,4887,53,7,0.3,0.010728744939271255,0.9878787878787879,1,100
0.011538461538461539,0.3,0.95,0.05,0.3,0.92,3,4883,57,7,0.3,0.011538461538461539,0.9870707070707071,1,100
0.016194331983805668,0.3,0.963855421686747,0.03614457831325301,0.3,0.94,3,4860,80,7,0.3,0.016194331983805668,0.9824242424242424,1,100
0.08198380566801619,0.3,0.9926470588235294,0.007352941176470588,0.3,0.96,3,4535,405,7,0.3,0.08198380566801619,0.9167676767676768,1,100
0.16619433198380568,0.5,0.9939467312348669,0.006053268765133172,0.5,0.98,5,4119,821,5,0.5,0.16619433198380568,0.8331313131313132,1,100
0.9680161943319838,1.0,0.9979131886477463,0.002086811352253756,1.0,1.0,10,158,4782,0,1.0,0.9680161943319838,0.03393939393939394,1,100
0.0,0.0,0.0,,0.0,0.02,0,4940,0,10,0.0,0.0,0.997979797979798,2,100
0.0,0.0,0.0,,0.0,0.04,0,4940,0,10,0.0,0.0,0.997979797979798,2,100
0.0,0.0,0.0,,0.0,0.06,0,4940,0,10,0.0,0.0,0.997979797979798,2,100
