FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,diffnetfinder_sec,run,dim
0.0,0.0,0.0,,0.0,0.05,0,19890,0,10,0.0,0.0,0.9994974874371859,48.86665409989655,0,200
0.0,0.0,0.0,,0.0,0.1,0,19890,0,10,0.0,0.0,0.9994974874371859,48.86665409989655,0,200
0.0,0.0,0.0,,0.0,0.15,0,19890,0,10,0.0,0.0,0.9994974874371859,48.86665409989655,0,200
0.0,0.0,0.0,,0.0,0.2,0,19890,0,10,0.0,0.0,0.9994974874371859,48.86665409989655,0,200
0.0,0.0,0.0,,0.0,0.25,0,19890,0,10,0.0,0.0,0.9994974874371859,48.86665409989655,0,200
0.0,0.0,0.0,,0.0,0.3,0,19890,0,10,0.0,0.0,0.9994974874371859,48.86665409989655,0,200
0.0,0.0,0.0,,0.0,0.35,0,19890,0,10,0.0,0.0,0.9994974874371859,48.86665409989655,0,200
0.0,0.0,0.0,,0.0,0.4,0,19890,0,10,0.0,0.0,0.9994974874371859,48.86665409989655,0,200
0.0,0.0,0.0,,0.0,0.45,0,19890,0,10,0.0,0.0,0.9994974874371859,48.86665409989655,0,200
0.0,0.0,0.0,,0.0,0.5,0,19890,0,10,0.0,0.0,0.9994974874371859,48.86665409989655,0,200
0.0,0.0,0.0,,0.0,0.55,0,19890,0,10,0.0,0.0,0.9994974874371859,48.86665409989655,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.6,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,48.86665409989655,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.65,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,48.86665409989655,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.7,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,48.86665409989655,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.75,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,48.86665409989655,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.8,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,48.86665409989655,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.85,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,48.86665409989655,0,200
0.0003519356460532931,0.0,1.0,0.0,0.0,0.9,0,19883,7,10,0.0,0.0003519356460532931,0.999145728643216,48.86665409989655,0,200
0.00040221216691804925,0.0,1.0,0.0,0.0,0.95,0,19882,8,10,0.0,0.00040221216691804925,0.9990954773869347,48.86665409989655,0,200
0.0510306686777275,0.5,0.9950980392156863,0.004901960784313725,0.5,1.0,5,18875,1015,5,0.5,0.0510306686777275,0.9487437185929648,48.86665409989655,0,200
5.0276520864756156e-05,0.1,0.5,0.5,0.1,0.05,1,19889,1,9,0.1,5.0276520864756156e-05,0.9994974874371859,48.55100710014813,1,200
5.0276520864756156e-05,0.1,0.5,0.5,0.1,0.1,1,19889,1,9,0.1,5.0276520864756156e-05,0.9994974874371859,48.55100710014813,1,200
5.0276520864756156e-05,0.1,0.5,0.5,0.1,0.15,1,19889,1,9,0.1,5.0276520864756156e-05,0.9994974874371859,48.55100710014813,1,200
5.0276520864756156e-05,0.1,0.5,0.5,0.1,0.2,1,19889,1,9,0.1,5.0276520864756156e-05,0.9994974874371859,48.55100710014813,1,200
5.0276520864756156e-05,0.1,0.5,0.5,0.1,0.25,1,19889,1,9,0.1,5.0276520864756156e-05,0.9994974874371859,48.55100710014813,1,200
5.0276520864756156e-05,0.1,0.5,0.5,0.1,0.3,1,19889,1,9,0.1,5.0276520864756156e-05,0.9994974874371859,48.55100710014813,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.35,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,48.55100710014813,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.4,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,48.55100710014813,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.45,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,48.55100710014813,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.5,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,48.55100710014813,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.55,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,48.55100710014813,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.6,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,48.55100710014813,1,200
0.00010055304172951231,0.1,0.6666666666666666,0.3333333333333333,0.1,0.65,1,19888,2,9,0.1,0.00010055304172951231,0.9994472361809045,48.55100710014813,1,200
0.00025138260432378077,0.1,0.8333333333333334,0.16666666666666666,0.1,0.7,1,19885,5,9,0.1,0.00025138260432378077,0.9992964824120603,48.55100710014813,1,200
0.00030165912518853697,0.1,0.8571428571428571,0.14285714285714285,0.1,0.75,1,19884,6,9,0.1,0.00030165912518853697,0.9992462311557789,48.55100710014813,1,200
0.0015082956259426848,0.1,0.967741935483871,0.03225806451612903,0.1,0.8,1,19860,30,9,0.1,0.0015082956259426848,0.9980402010050251,48.55100710014813,1,200
0.001558572146807441,0.1,0.96875,0.03125,0.1,0.85,1,19859,31,9,0.1,0.001558572146807441,0.9979899497487437,48.55100710014813,1,200
0.003821015585721468,0.1,0.987012987012987,0.012987012987012988,0.1,0.9,1,19814,76,9,0.1,0.003821015585721468,0.9957286432160805,48.55100710014813,1,200
0.005279034690799397,0.2,0.9813084112149533,0.018691588785046728,0.2,0.95,2,19785,105,8,0.2,0.005279034690799397,0.994321608040201,48.55100710014813,1,200
0.998340874811463,1.0,0.9994966527407259,0.0005033472592741732,1.0,1.0,10,33,19857,0,1.0,0.998340874811463,0.0021608040201005025,48.55100710014813,1,200
0.0,0.0,0.0,,0.0,0.05,0,19890,0,10,0.0,0.0,0.9994974874371859,49.386972799897194,2,200
0.0,0.0,0.0,,0.0,0.1,0,19890,0,10,0.0,0.0,0.9994974874371859,49.386972799897194,2,200
0.0,0.0,0.0,,0.0,0.15,0,19890,0,10,0.0,0.0,0.9994974874371859,49.386972799897194,2,200
0.0,0.0,0.0,,0.0,0.2,0,19890,0,10,0.0,0.0,0.9994974874371859,49.386972799897194,2,200
0.00015082956259426848,0.0,1.0,0.0,0.0,0.25,0,19887,3,10,0.0,0.00015082956259426848,0.9993467336683417,49.386972799897194,2,200
0.00015082956259426848,0.0,1.0,0.0,0.0,0.3,0,19887,3,10,0.0,0.00015082956259426848,0.9993467336683417,49.386972799897194,2,200
0.00015082956259426848,0.0,1.0,0.0,0.0,0.35,0,19887,3,10,0.0,0.00015082956259426848,0.9993467336683417,49.386972799897194,2,200
0.00015082956259426848,0.0,1.0,0.0,0.0,0.4,0,19887,3,10,0.0,0.00015082956259426848,0.9993467336683417,49.386972799897194,2,200
