FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,diffnetfinder_sec,run,dim
0.0,0.3,0.0,1.0,0.3,0.05,3,4940,0,7,0.3,0.0,0.9985858585858586,45.882025200058706,0,100
0.0,0.3,0.0,1.0,0.3,0.1,3,4940,0,7,0.3,0.0,0.9985858585858586,45.882025200058706,0,100
0.0,0.3,0.0,1.0,0.3,0.15,3,4940,0,7,0.3,0.0,0.9985858585858586,45.882025200058706,0,100
0.0004048582995951417,0.3,0.4,0.6,0.3,0.2,3,4938,2,7,0.3,0.0004048582995951417,0.9981818181818182,45.882025200058706,0,100
0.0004048582995951417,0.3,0.4,0.6,0.3,0.25,3,4938,2,7,0.3,0.0004048582995951417,0.9981818181818182,45.882025200058706,0,100
0.0006072874493927126,0.3,0.5,0.5,0.3,0.3,3,4937,3,7,0.3,0.0006072874493927126,0.997979797979798,45.882025200058706,0,100
0.0006072874493927126,0.3,0.5,0.5,0.3,0.35,3,4937,3,7,0.3,0.0006072874493927126,0.997979797979798,45.882025200058706,0,100
0.0006072874493927126,0.3,0.5,0.5,0.3,0.4,3,4937,3,7,0.3,0.0006072874493927126,0.997979797979798,45.882025200058706,0,100
0.0006072874493927126,0.3,0.5,0.5,0.3,0.45,3,4937,3,7,0.3,0.0006072874493927126,0.997979797979798,45.882025200058706,0,100
0.0006072874493927126,0.3,0.5,0.5,0.3,0.5,3,4937,3,7,0.3,0.0006072874493927126,0.997979797979798,45.882025200058706,0,100
0.0006072874493927126,0.3,0.5,0.5,0.3,0.55,3,4937,3,7,0.3,0.0006072874493927126,0.997979797979798,45.882025200058706,0,100
0.0018218623481781376,0.3,0.75,0.25,0.3,0.6,3,4931,9,7,0.3,0.0018218623481781376,0.9967676767676767,45.882025200058706,0,100
0.00465587044534413,0.4,0.8518518518518519,0.14814814814814814,0.4,0.65,4,4917,23,6,0.4,0.00465587044534413,0.9941414141414141,45.882025200058706,0,100
