FPR,TPR,FDR,NPrecision,NRecall,alpha,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC,run,dim
0.0,0.1,0.0,1.0,0.1,0.1,1,4940,0,9,0.1,0.0,0.9981818181818182,0,100
0.0,0.2,0.0,1.0,0.2,0.15,2,4940,0,8,0.2,0.0,0.9983838383838384,0,100
0.0,0.2,0.0,1.0,0.2,0.2,2,4940,0,8,0.2,0.0,0.9983838383838384,0,100
0.0,0.2,0.0,1.0,0.2,0.25,2,4940,0,8,0.2,0.0,0.9983838383838384,0,100
0.0,0.2,0.0,1.0,0.2,0.3,2,4940,0,8,0.2,0.0,0.9983838383838384,0,100
0.0,0.2,0.0,1.0,0.2,0.35,2,4940,0,8,0.2,0.0,0.9983838383838384,0,100
0.0,0.2,0.0,1.0,0.2,0.4,2,4940,0,8,0.2,0.0,0.9983838383838384,0,100
0.0,0.2,0.0,1.0,0.2,0.45,2,4940,0,8,0.2,0.0,0.9983838383838384,0,100
0.0,0.2,0.0,1.0,0.2,0.5,2,4940,0,8,0.2,0.0,0.9983838383838384,0,100
0.0,0.3,0.0,1.0,0.3,0.55,3,4940,0,7,0.3,0.0,0.9985858585858586,0,100
0.0024291497975708503,0.3,0.8,0.2,0.3,0.6,3,4928,12,7,0.3,0.0024291497975708503,0.9961616161616161,0,100
0.005870445344129555,0.3,0.90625,0.09375,0.3,0.65,3,4911,29,7,0.3,0.005870445344129555,0.9927272727272727,0,100
0.0066801619433198385,0.3,0.9166666666666666,0.08333333333333333,0.3,0.7,3,4907,33,7,0.3,0.0066801619433198385,0.9919191919191919,0,100
0.0066801619433198385,0.3,0.9166666666666666,0.08333333333333333,0.3,0.75,3,4907,33,7,0.3,0.0066801619433198385,0.9919191919191919,0,100
0.015384615384615385,0.4,0.95,0.05,0.4,0.8,4,4864,76,6,0.4,0.015384615384615385,0.9834343434343434,0,100
0.02186234817813765,0.4,0.9642857142857143,0.03571428571428571,0.4,0.85,4,4832,108,6,0.4,0.02186234817813765,0.9769696969696969,0,100
0.027935222672064778,0.4,0.971830985915493,0.028169014084507043,0.4,0.9,4,4802,138,6,0.4,0.027935222672064778,0.9709090909090909,0,100
0.04979757085020243,0.4,0.984,0.016,0.4,0.95,4,4694,246,6,0.4,0.04979757085020243,0.9490909090909091,0,100
0.07510121457489878,0.5,0.9867021276595744,0.013297872340425532,0.5,1.0,5,4569,371,5,0.5,0.07510121457489878,0.924040404040404,0,100
0.00020242914979757084,0.2,0.3333333333333333,0.6666666666666666,0.2,0.1,2,4939,1,8,0.2,0.00020242914979757084,0.9981818181818182,1,100
0.0008097165991902834,0.4,0.5,0.5,0.4,0.15,4,4936,4,6,0.4,0.0008097165991902834,0.997979797979798,1,100
0.0008097165991902834,0.4,0.5,0.5,0.4,0.2,4,4936,4,6,0.4,0.0008097165991902834,0.997979797979798,1,100
0.0008097165991902834,0.4,0.5,0.5,0.4,0.25,4,4936,4,6,0.4,0.0008097165991902834,0.997979797979798,1,100
0.0012145748987854252,0.4,0.6,0.4,0.4,0.3,4,4934,6,6,0.4,0.0012145748987854252,0.9975757575757576,1,100
0.0012145748987854252,0.4,0.6,0.4,0.4,0.35,4,4934,6,6,0.4,0.0012145748987854252,0.9975757575757576,1,100
0.0020242914979757085,0.5,0.6666666666666666,0.3333333333333333,0.5,0.4,5,4930,10,5,0.5,0.0020242914979757085,0.996969696969697,1,100
0.0036437246963562753,0.5,0.782608695652174,0.21739130434782608,0.5,0.45,5,4922,18,5,0.5,0.0036437246963562753,0.9953535353535353,1,100
0.0036437246963562753,0.5,0.782608695652174,0.21739130434782608,0.5,0.5,5,4922,18,5,0.5,0.0036437246963562753,0.9953535353535353,1,100
0.008502024291497975,0.5,0.8936170212765957,0.10638297872340426,0.5,0.55,5,4898,42,5,0.5,0.008502024291497975,0.9905050505050506,1,100
0.010931174089068825,0.5,0.9152542372881356,0.0847457627118644,0.5,0.6,5,4886,54,5,0.5,0.010931174089068825,0.9880808080808081,1,100
0.013562753036437248,0.5,0.9305555555555556,0.06944444444444445,0.5,0.65,5,4873,67,5,0.5,0.013562753036437248,0.9854545454545455,1,100
0.020647773279352227,0.5,0.9532710280373832,0.04672897196261682,0.5,0.7,5,4838,102,5,0.5,0.020647773279352227,0.9783838383838384,1,100
0.020647773279352227,0.5,0.9532710280373832,0.04672897196261682,0.5,0.75,5,4838,102,5,0.5,0.020647773279352227,0.9783838383838384,1,100
0.03076923076923077,0.5,0.9681528662420382,0.03184713375796178,0.5,0.8,5,4788,152,5,0.5,0.03076923076923077,0.9682828282828283,1,100
0.04595141700404858,0.7,0.9700854700854701,0.029914529914529916,0.7,0.85,7,4713,227,3,0.7,0.04595141700404858,0.9535353535353536,1,100
0.07975708502024291,0.7,0.9825436408977556,0.017456359102244388,0.7,0.9,7,4546,394,3,0.7,0.07975708502024291,0.9197979797979798,1,100
0.13238866396761134,0.9,0.9864253393665159,0.013574660633484163,0.9,0.95,9,4286,654,1,0.9,0.13238866396761134,0.8676767676767677,1,100
0.9334008097165992,1.0,0.9978359662410734,0.002164033758926639,1.0,1.0,10,329,4611,0,1.0,0.9334008097165992,0.06848484848484848,1,100
0.00020242914979757084,0.4,0.2,0.8,0.4,0.1,4,4939,1,6,0.4,0.00020242914979757084,0.9985858585858586,2,100
0.0004048582995951417,0.4,0.3333333333333333,0.6666666666666666,0.4,0.15,4,4938,2,6,0.4,0.0004048582995951417,0.9983838383838384,2,100
0.0010121457489878543,0.5,0.5,0.5,0.5,0.2,5,4935,5,5,0.5,0.0010121457489878543,0.997979797979798,2,100
0.0010121457489878543,0.5,0.5,0.5,0.5,0.25,5,4935,5,5,0.5,0.0010121457489878543,0.997979797979798,2,100
