alpha,FPR,TPR,FDR,NPrecision,NRecall,diffnetfinder_sec,run,dim,NTP,NTN,NFP,NFN,NTPR,NFPR,NACC
0.9,0.002815485168426345,1.0,0.8484848484848485,0.15151515151515152,1.0,44.8563625998795,2,200,10.0,19834.0,56.0,0.0,1.0,0.002815485168426345,0.9971859296482412
0.95,0.010558069381598794,1.0,0.9545454545454546,0.045454545454545456,1.0,44.8563625998795,2,200,10.0,19680.0,210.0,0.0,1.0,0.010558069381598794,0.9894472361809046
1.0,0.9577677224736049,1.0,0.9994753410283316,0.0005246589716684155,1.0,44.8563625998795,2,200,10.0,840.0,19050.0,0.0,1.0,0.9577677224736049,0.04271356783919598
0.05,0.0,1.0,0.0,1.0,1.0,44.40822759992443,3,200,10.0,19890.0,0.0,0.0,1.0,0.0,1.0
0.1,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,44.40822759992443,3,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.15,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,44.40822759992443,3,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.2,0.00010055304172951231,1.0,0.16666666666666666,0.8333333333333334,1.0,44.40822759992443,3,200,10.0,19888.0,2.0,0.0,1.0,0.00010055304172951231,0.9998994974874372
0.25,0.00020110608345902463,1.0,0.2857142857142857,0.7142857142857143,1.0,44.40822759992443,3,200,10.0,19886.0,4.0,0.0,1.0,0.00020110608345902463,0.9997989949748743
0.3,0.00020110608345902463,1.0,0.2857142857142857,0.7142857142857143,1.0,44.40822759992443,3,200,10.0,19886.0,4.0,0.0,1.0,0.00020110608345902463,0.9997989949748743
0.35,0.00020110608345902463,1.0,0.2857142857142857,0.7142857142857143,1.0,44.40822759992443,3,200,10.0,19886.0,4.0,0.0,1.0,0.00020110608345902463,0.9997989949748743
0.4,0.00025138260432378077,1.0,0.3333333333333333,0.6666666666666666,1.0,44.40822759992443,3,200,10.0,19885.0,5.0,0.0,1.0,0.00025138260432378077,0.999748743718593
0.45,0.00025138260432378077,1.0,0.3333333333333333,0.6666666666666666,1.0,44.40822759992443,3,200,10.0,19885.0,5.0,0.0,1.0,0.00025138260432378077,0.999748743718593
